Cap waktu,Jenis Kelamin,Domisili Tempat Tinggal,Jurusan,Semester,Pendidikan Terakhir Sebelum Kuliah,Jenis Sekolah,Domisili Sekolah,Asal Kota Domisili,Program Peminatan Sekolah,Lama menempuh pendidikan formal terakhir ,Apakah anda pernah mengikuti bimbel/ kursus/ les selama menempuh pendidikan formal terakhir?,"Jika pernah, dimana lokasi bimbel/ kursus/ les?",Nama instansi pendidikan non formal,Lama waktu mengikuti bimbel selama pendidikan formal terakhir,Apakah anda pernah memperoleh prestasi selama menempuh pendidikan formal terakhir?,Tingkat pencapaian prestasi pada saat pendidikan formal terakhir,Banyak prestasi yang diperoleh pada saat pendidikan formal terakhir,Apakah anda mengikuti ekstrakurikuler pada saat pendidikan formal terakhir?,"Jika Ya, jenis ekstrakurikuler yang diikuti",Jalur masuk UIN Jakarta,Apakah anda memperoleh prestasi saat berkuliah?,"Jika Ya, jenis prestasi yang diperoleh","Jika Ya, Tingkat pencapaian prestasi","Jika Ya, Banyaknya prestasi yang diperoleh pada saat berkuliah",Apakah anda penerima beasiswa?,Hasil Indeks Prestasi Kumulatif (IPK) saat ini
2022/04/13 3:03:14 PM GMT+7,Perempuan,JABODETABEK,Sistem Informasi,6,SMA,Negeri,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/13 4:30:51 PM GMT+7,Perempuan,JABODETABEK,Kimia,2,SMA,Negeri,JABODETABEK,Bekasi,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri;Ruangguru;Zenius,1-3 Tahun,Prestasi Akademik,Tidak Ada,2,Ya,Akademik,SBMPTN,Tidak,,-,,Tidak,3.00 - 3.50
2022/04/13 7:19:03 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,2,SMK,Negeri,JABODETABEK,Jakarta ,Smk,3 Tahun,Tidak Pernah,JABODETABEK,,<1 Tahun,Prestasi Akademik,Kelas,3,Ya,Non - Akademik,SNMPTN,Ya,Non - Akademik,Lomba sejurusan antar kelas ,2,Ya,3.00 - 3.50
2022/04/14 11:34:23 AM GMT+7,Perempuan,JABODETABEK,Biologi,2,SMA,Swasta,JABODETABEK,Jakarta Pusat,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,> 3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,< 2.50
2022/04/14 6:29:26 PM GMT+7,Perempuan,JABODETABEK,Kimia,6,SMA,Swasta,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Pernah,JABODETABEK,Primagama,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/14 7:05:29 PM GMT+7,Perempuan,JABODETABEK,Agribisnis,4,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Group,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/16 11:19:24 AM GMT+7,Perempuan,JABODETABEK,Fisika,4,MA,Negeri,JABODETABEK,JAKARTA BARAT,IPA,3 Tahun,Pernah,JABODETABEK,Zenius,<1 Tahun,Prestasi Non-Akademik,Tidak Ada,1,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/16 12:51:07 PM GMT+7,Laki - Laki,JABODETABEK,Fisika,4,MA,Negeri,JABODETABEK,Kab Tanggerang,IPA,3 Tahun,Tidak Pernah,JABODETABEK,Ruangguru;Quipper;Zenius;Private,<1 Tahun,Prestasi Akademik,Provinsi,3,Ya,Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/16 3:56:58 PM GMT+7,Perempuan,JABODETABEK,Fisika,2,SMA,Swasta,JABODETABEK,Jakarta,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Provinsi,1,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/16 3:57:27 PM GMT+7,Perempuan,JABODETABEK,Fisika,2,SMK,Swasta,JABODETABEK,Bogor,Farmasi,3 Tahun,Pernah,JABODETABEK,Ruangguru;Zenius,<1 Tahun,Prestasi Akademik,Tidak Ada,1,Ya,Akademik,Lainnya,Tidak,,,,Ya,> 3.50
